t,subpop,S_indiv,I_indiv,R_indiv,REGION6,parset,parset_name,sens_type,sens_value
0,A,0.9989999999999999,0.001,0,1,15,fold_3,fold,3
0,C,0.9989999999999999,9.999999999999998e-4,0,1,15,fold_3,fold,3
1,A,0.9984643625979709,0.0013058678874333055,2.2976951459515886e-4,1,15,fold_3,fold,3
1,C,0.9986495571469152,0.0011369422787839752,2.135005743006576e-4,1,15,fold_3,fold,3
2,A,0.9978231542967307,0.0016518025916032843,5.250431116666538e-4,1,15,fold_3,fold,3
2,C,0.9982592644696741,0.001285193053646961,4.555424766783966e-4,1,15,fold_3,fold,3
3,A,0.9970827197988748,0.0020249589687109,8.923212324146679e-4,1,15,fold_3,fold,3
3,C,0.9978272850880078,0.0014443909442482126,7.283239677447087e-4,1,15,fold_3,fold,3
4,A,0.9962378646841433,0.002425219605499389,0.0013369157103575655,1,15,fold_3,fold,3
4,C,0.9973504194443595,0.0016154485811884156,0.0010341319744516624,1,15,fold_3,fold,3
5,A,0.9952750302228384,0.002860027970916794,0.0018649418062447291,1,15,fold_3,fold,3
5,C,0.9968244204192483,0.0018000785266100486,0.0013755010541406766,1,15,fold_3,fold,3
6,A,0.9941764551722386,0.003339285719850328,0.0024842591079118725,1,15,fold_3,fold,3
6,C,0.9962442713242655,0.0020003892233623243,0.0017553394523712555,1,15,fold_3,fold,3
7,A,0.9929220605280854,0.0038731711720132673,0.0032047682999009476,1,15,fold_3,fold,3
7,C,0.9956042931697204,0.0022186968786095875,0.002177009951670644,1,15,fold_3,fold,3
8,A,0.9914902325984197,0.004471426135682292,0.004038341265897579,1,15,fold_3,fold,3
8,C,0.9948982274002891,0.0024574287266177944,0.002644343873092938,1,15,fold_3,fold,3
9,A,0.9898578689924935,0.005143415648057042,0.004998715359448919,1,15,fold_3,fold,3
9,C,0.994119247304161,0.0027190993498915255,0.003161653345948593,1,15,fold_3,fold,3
10,A,0.9880000228534193,0.005898465817165143,0.006101511329415524,1,15,fold_3,fold,3
10,C,0.9932598959521347,0.0030063342677293624,0.003733769780135903,1,15,fold_3,fold,3
11,A,0.9858890449932023,0.006746307438584417,0.007364647568214077,1,15,fold_3,fold,3
11,C,0.9923118616765493,0.003321949522264962,0.004366188801184719,1,15,fold_3,fold,3
12,A,0.9834964189772069,0.007696528353402821,0.008807052669390731,1,15,fold_3,fold,3
12,C,0.9912665422182348,0.003668769680555589,0.005064688101208899,1,15,fold_3,fold,3
13,A,0.9807895779612521,0.008759697724777155,0.010450724313971267,1,15,fold_3,fold,3
13,C,0.9901140744163102,0.004049958548076276,0.005835967035613087,1,15,fold_3,fold,3
14,A,0.9777342882470614,0.009946501916782013,0.01231920983615629,1,15,fold_3,fold,3
14,C,0.9888440234468252,0.004468785580359113,0.006687190972814009,1,15,fold_3,fold,3
15,A,0.9742935968456657,0.011267988120666832,0.014438415033668469,1,15,fold_3,fold,3
15,C,0.9874450035888395,0.004928739674642009,0.0076262567365203105,1,15,fold_3,fold,3
16,A,0.9704283121511863,0.01273534671488958,0.016836341133924206,1,15,fold_3,fold,3
16,C,0.9859047555893107,0.0054335051848317505,0.008661739225857624,1,15,fold_3,fold,3
17,A,0.9660975108696152,0.014359601048749253,0.01954288808163565,1,15,fold_3,fold,3
17,C,0.9842102021505404,0.005986930139631863,0.009802867709828291,1,15,fold_3,fold,3
18,A,0.9612568104894295,0.01615195756626363,0.02259123194430628,1,15,fold_3,fold,3
18,C,0.9823467952951447,0.0065932097868503,0.011059994918004377,1,15,fold_3,fold,3
