REGION6,n_counties,peak_prev_ratio_median,peak_prev_ratio_q20,peak_prev_ratio_q80,attack_rate_ratio_median,attack_rate_ratio_q20,attack_rate_ratio_q80
1,748,5.772831708621446,4.248105540908461,7.597944057801138,3.4620223635873186,2.8079465434864317,4.300298923348488
2,560,4.9670453106196595,3.7168450775640416,6.906233649590696,3.13185460073792,2.632775966281868,3.9546614627743244
3,1055,2.6696439830405927,2.265796007583726,3.2309975626798924,2.225547394292411,1.9857623255799506,2.5379877304397267
4,379,2.5975067211270693,2.1442724856598026,3.203561280636824,2.128125058300973,1.8389264831216905,2.4649441414429267
5,308,3.636639787012533,2.5798104549949503,5.412526696023777,2.715195931802741,2.130406488497626,3.4541882995736186
6,58,3.4906966331906633,2.2970477424354567,5.328813310290357,2.3633506860851794,1.8660827047373043,3.3476871980189515
