eps,A_within_min,A_within_max,A_between_min,A_between_max,A_within_range,A_between_range
0,100,100,0,0,100.0% - 100.0%,0.0% - 0.0%
0.33,67.23780038336767,67.7212181237124,32.27878187628759,32.76219961663234,67.2% - 67.7%,32.3% - 32.8%
0.5,50.360303611163125,51.092754732897596,48.907245267102404,49.63969638883687,50.4% - 51.1%,48.9% - 49.6%
0.7,30.50442505562839,31.529856626056635,68.47014337394336,69.49557494437161,30.5% - 31.5%,68.5% - 69.5%
