t,subpop,S_indiv,I_indiv,R_indiv,REGION6,parset,parset_name,sens_type,sens_value
0,A,0.9990000000000001,9.999999999999998e-4,0,1,24,vax_C_0.6,vax_C,0.6
0,C,0.9990000000000002,0.0010000000000000002,0,1,24,vax_C_0.6,vax_C,0.6
1,A,0.9985252076301715,0.0012503010932173322,2.2449127661142975e-4,1,24,vax_C_0.6,vax_C,0.6
1,C,0.9987174374166639,0.0010751051479150546,2.074574354211944e-4,1,24,vax_C_0.6,vax_C,0.6
2,A,0.9979669355747103,0.0015308772619083658,5.021871633802638e-4,1,24,vax_C_0.6,vax_C,0.6
2,C,0.9984163246759928,0.001153414261719212,4.302610622867325e-4,1,24,vax_C_0.6,vax_C,0.6
3,A,0.9973242557936909,0.0018371329490634118,8.386112572458816e-4,1,24,vax_C_0.6,vax_C,0.6
3,C,0.998096103631753,0.0012348565514075714,6.690398168383754e-4,1,24,vax_C_0.6,vax_C,0.6
4,A,0.9965927174379325,0.0021684961941672324,0.0012387863678997898,1,24,vax_C_0.6,vax_C,0.6
4,C,0.9977559845717031,0.0013195826065534016,9.244328217437754e-4,1,24,vax_C_0.6,vax_C,0.6
5,A,0.9957642187260433,0.002527681297428656,0.0017080999765275468,1,24,vax_C_0.6,vax_C,0.6
5,C,0.9973949409834367,0.0014079147231659838,0.0011971442933985357,1,24,vax_C_0.6,vax_C,0.6
6,A,0.9948288109041508,0.0029188075415515807,0.002252381554296674,1,24,vax_C_0.6,vax_C,0.6
6,C,0.9970118369040218,0.0015002474096842348,0.0014879156862945234,1,24,vax_C_0.6,vax_C,0.6
7,A,0.9937744930879795,0.0033468577257993455,0.0028786491862207086,1,24,vax_C_0.6,vax_C,0.6
7,C,0.9966053502607234,0.001597040659323005,0.001797609079956093,1,24,vax_C_0.6,vax_C,0.6
8,A,0.9925886540937329,0.003816751285918279,0.00359459462034755,1,24,vax_C_0.6,vax_C,0.6
8,C,0.9961741074622781,0.001698752461345231,0.002127140076376663,1,24,vax_C_0.6,vax_C,0.6
