t,subpop,S_indiv,I_indiv,R_indiv,REGION6,parset,parset_name,sens_type,sens_value
0,A,0.9990000000000001,9.999999999999998e-4,0,1,11,sar_0.3,sar,0.3
0,C,0.9990000000000002,0.0010000000000000002,0,1,11,sar_0.3,sar,0.3
1,A,0.9985319724659344,0.0012440963162717337,2.2393121779379628e-4,1,11,sar_0.3,sar,0.3
1,C,0.9986549008705912,0.0011320622171615683,2.1303691224695189e-4,1,11,sar_0.3,sar,0.3
2,A,0.9979837897856659,0.0015166153103623838,4.995949039715166e-4,1,11,sar_0.3,sar,0.3
2,C,0.9982715482189621,0.00127488487355451,4.5356690748248643e-4,1,11,sar_0.3,sar,0.3
3,A,0.9973518929583215,0.0018156659694770344,8.324410722007871e-4,1,11,sar_0.3,sar,0.3
3,C,0.9978472360161615,0.001428978597577979,7.237853862614511e-4,1,11,sar_0.3,sar,0.3
4,A,0.996629845162383,0.0021423042280678583,0.0012278506095489805,1,11,sar_0.3,sar,0.3
4,C,0.9973785294533597,0.0015954187867633957,0.0010260517598775643,1,11,sar_0.3,sar,0.3
5,A,0.9958083625876761,0.002499985955984164,0.0016916514563382265,1,11,sar_0.3,sar,0.3
5,C,0.9968613077650527,0.0017757150392722135,0.0013629771956758967,1,11,sar_0.3,sar,0.3
6,A,0.9948754817289843,0.002893832220566988,0.0022306860504492285,1,11,sar_0.3,sar,0.3
6,C,0.9962906933637412,0.0019717322502467325,0.001737574386012648,1,11,sar_0.3,sar,0.3
7,A,0.9938176163553352,0.0033296573811778564,0.0028527262634878646,1,11,sar_0.3,sar,0.3
7,C,0.9956613239035947,0.002185505808676345,0.0021531702877278674,1,11,sar_0.3,sar,0.3
8,A,0.9926200611524898,0.003813520920057155,0.0035664179274523256,1,11,sar_0.3,sar,0.3
8,C,0.9949674555638459,0.0024191636927869986,0.0026133807433687327,1,11,sar_0.3,sar,0.3
9,A,0.9912656902520182,0.004352144273860638,0.004382165474121006,1,11,sar_0.3,sar,0.3
9,C,0.9942024208460654,0.0026751028895650613,0.003122476264370282,1,11,sar_0.3,sar,0.3
10,A,0.9897358795550844,0.0049524226627371045,0.005311697782179135,1,11,sar_0.3,sar,0.3
10,C,0.9933589544585426,0.0029558448540388063,0.0036852006874184286,1,11,sar_0.3,sar,0.3
11,A,0.9880104511604206,0.005621450042114366,0.006368098797464918,1,11,sar_0.3,sar,0.3
11,C,0.9924291611373762,0.0032640423669213236,0.004306796495701895,1,11,sar_0.3,sar,0.3
12,A,0.9860683454140904,0.006366315242898492,0.007565339343011283,1,11,sar_0.3,sar,0.3
12,C,0.9914047751087827,0.0036023956437744625,0.0049928292474429765,1,11,sar_0.3,sar,0.3
13,A,0.983884867144734,0.007195055999754909,0.00892007685551145,1,11,sar_0.3,sar,0.3
13,C,0.9902760712604571,0.003974013637148691,0.0057499151023929175,1,11,sar_0.3,sar,0.3
14,A,0.9814312349398377,0.008116612446390498,0.010452152613771883,1,11,sar_0.3,sar,0.3
14,C,0.9890316374959538,0.004382441346513628,0.006585921157532506,1,11,sar_0.3,sar,0.3
15,A,0.9786908447069845,0.009136044977502193,0.01217311031551294,1,11,sar_0.3,sar,0.3
15,C,0.9876648673607267,0.004829708369934988,0.007505424269338248,1,11,sar_0.3,sar,0.3
16,A,0.975622964301717,0.010265291307603085,0.01411174439068012,1,11,sar_0.3,sar,0.3
16,C,0.986159394591371,0.00532073575804838,0.00851986965057982,1,11,sar_0.3,sar,0.3
17,A,0.9721998847187595,0.011511992353945788,0.01628812292729497,1,11,sar_0.3,sar,0.3
17,C,0.9845038849404315,0.0058588318963743,0.009637283163194716,1,11,sar_0.3,sar,0.3
18,A,0.9683884347201944,0.01288494997634715,0.01872661530345878,1,11,sar_0.3,sar,0.3
18,C,0.9826845813526649,0.0064479466488103114,0.010867471998524114,1,11,sar_0.3,sar,0.3
19,A,0.9641561180290364,0.014392293762625701,0.021451588208338448,1,11,sar_0.3,sar,0.3
19,C,0.9806877257295041,0.007091937642723479,0.012220336627773363,1,11,sar_0.3,sar,0.3
20,A,0.959464191526714,0.016043142427038488,0.024492666046247752,1,11,sar_0.3,sar,0.3
20,C,0.9784965603194661,0.007795399499746934,0.01370804018078877,1,11,sar_0.3,sar,0.3
21,A,0.9542756696096701,0.017845271776159202,0.0278790586141701,1,11,sar_0.3,sar,0.3
21,C,0.9760944649808089,0.008562726642825803,0.015342808376364904,1,11,sar_0.3,sar,0.3
22,A,0.9485507927338411,0.019805998366843464,0.03164320889931545,1,11,sar_0.3,sar,0.3
22,C,0.9734628152879358,0.009398667252003334,0.01713851746006201,1,11,sar_0.3,sar,0.3
23,A,0.94225323774203,0.021930855274250614,0.035815906983719115,1,11,sar_0.3,sar,0.3
23,C,0.9705837181949191,0.010307591772790782,0.019108690032290463,1,11,sar_0.3,sar,0.3
