commodity,min_loss_pct,max_loss_pct,mean_loss_pct,worst_peakday,best_peakday,crop_value_usd,max_loss_adj,min_loss_adj,mean_loss_adj,max_dollar_loss,min_dollar_loss,mean_dollar_loss
"Lettuce, Iceberg",0.13129077391625943,0.9668107449609552,0.6316190240097423,141,350,1245105000,0.4834053724804776,0.06564538695812971,0.3158095120048712,6018904.463023051,817353.9952850209,3932160.0244482514
Oranges,0.2586273971897035,0.9489203976897342,0.6316190240100977,30,219,852507000,0.4744601988448671,0.12931369859485176,0.31580951200504886,4044806.4073664113,1102408.332480013,2692298.196508882
Strawberries,0.09156821150213544,1.2263018105526435,0.631619024009658,143,7,3456522000,0.6131509052763218,0.04578410575106772,0.315809512004829,21193695.93407522,1582537.687788921,10916025.260539556
