parset,parset_name,sens_type,sens_value,REGION6,subpop,peak_prevalence,time_to_peak,final_attack_rate,time_to_est,epidemic_duration
2,r0_1.5,obesity_obs_A,0.6,4,C,0.007365291854581563,97,0.15030815464736436,14,172
2,r0_1.5,obesity_obs_A,0.6,5,A,0.01727249638052705,66,0.2745554213467799,4,173
2,r0_1.5,obesity_obs_A,0.6,5,C,0.006670667463127378,97,0.1403357092878556,16,171
2,r0_1.5,obesity_obs_A,0.6,6,A,0.02452459526762869,58,0.31043694114199083,3,148
2,r0_1.5,obesity_obs_A,0.6,6,C,0.011407142398086049,81,0.18145135136438942,10,152
2,r0_1.5,obesity_obs_A,0.7,1,A,0.01495317895986165,68,0.26311067282686834,4,190
2,r0_1.5,obesity_obs_A,0.7,1,C,0.004876253179774784,108,0.12249450530255489,19,185
2,r0_1.5,obesity_obs_A,0.7,2,A,0.01508011774728816,68,0.2632918691025615,4,191
2,r0_1.5,obesity_obs_A,0.7,2,C,0.004525194311989819,109,0.11707365454807192,21,184
2,r0_1.5,obesity_obs_A,0.7,3,A,0.009255146280005266,86,0.21039645860841252,6,202
2,r0_1.5,obesity_obs_A,0.7,3,C,0.0044247579436720195,111,0.11655956604301661,21,186
2,r0_1.5,obesity_obs_A,0.7,4,A,0.014012228359589356,75,0.24981362528784748,5,176
2,r0_1.5,obesity_obs_A,0.7,4,C,0.007365291854581563,97,0.15030815464736436,14,172
2,r0_1.5,obesity_obs_A,0.7,5,A,0.017607785040979596,66,0.27988501108385633,4,174
2,r0_1.5,obesity_obs_A,0.7,5,C,0.006670667463127378,97,0.1403357092878556,16,171
2,r0_1.5,obesity_obs_A,0.7,6,A,0.02500065955586293,58,0.3164630524728249,3,148
2,r0_1.5,obesity_obs_A,0.7,6,C,0.011407142398086049,81,0.18145135136438942,10,152
2,r0_1.5,obesity_or,1,1,A,0.014098960556248015,68,0.24808015794309837,5,187
2,r0_1.5,obesity_or,1,1,C,0.004876253179774784,108,0.12249450530255489,19,185
2,r0_1.5,obesity_or,1,2,A,0.01421864781216787,68,0.2482510031627533,5,188
2,r0_1.5,obesity_or,1,2,C,0.004525194311989819,109,0.11707365454807192,21,184
2,r0_1.5,obesity_or,1,3,A,0.00872643487343825,86,0.1983773068627624,7,199
2,r0_1.5,obesity_or,1,3,C,0.0044247579436720195,111,0.11655956604301661,21,186
2,r0_1.5,obesity_or,1,4,A,0.01321176289518694,75,0.23554272030054477,6,174
2,r0_1.5,obesity_or,1,4,C,0.007365291854581563,97,0.15030815464736436,14,172
2,r0_1.5,obesity_or,1,5,A,0.01660191905962196,66,0.26389624187262717,4,172
2,r0_1.5,obesity_or,1,5,C,0.006670667463127378,97,0.1403357092878556,16,171
2,r0_1.5,obesity_or,1,6,A,0.023572466691160216,58,0.29838471848032283,4,146
2,r0_1.5,obesity_or,1,6,C,0.011407142398086049,81,0.18145135136438942,10,152
2,r0_1.5,obesity_or,1.5,1,A,0.014526069758054833,68,0.25559541538498337,4,189
2,r0_1.5,obesity_or,1.5,1,C,0.004876253179774784,108,0.12249450530255489,19,185
2,r0_1.5,obesity_or,1.5,2,A,0.014649382779728017,68,0.25577143613265746,4,190
2,r0_1.5,obesity_or,1.5,2,C,0.004525194311989819,109,0.11707365454807192,21,184
2,r0_1.5,obesity_or,1.5,3,A,0.008990790576721759,86,0.20438688273558747,7,200
2,r0_1.5,obesity_or,1.5,3,C,0.0044247579436720195,111,0.11655956604301661,21,186
2,r0_1.5,obesity_or,1.5,4,A,0.01361199562738815,75,0.24267817279419615,5,175
2,r0_1.5,obesity_or,1.5,4,C,0.007365291854581563,97,0.15030815464736436,14,172
2,r0_1.5,obesity_or,1.5,5,A,0.01710485205030078,66,0.2718906264782418,4,173
2,r0_1.5,obesity_or,1.5,5,C,0.006670667463127378,97,0.1403357092878556,16,171
2,r0_1.5,obesity_or,1.5,6,A,0.024286563123511577,58,0.3074238854765739,4,146
2,r0_1.5,obesity_or,1.5,6,C,0.011407142398086049,81,0.18145135136438942,10,152
2,r0_1.5,obesity_or,3,1,A,0.015228817869696635,68,0.2679607143610879,4,191
2,r0_1.5,obesity_or,3,1,C,0.004876253179774784,108,0.12249450530255489,19,185
2,r0_1.5,obesity_or,3,2,A,0.015358096578893357,68,0.2681452507120944,4,192
2,r0_1.5,obesity_or,3,2,C,0.004525194311989819,109,0.11707365454807192,21,184
2,r0_1.5,obesity_or,3,3,A,0.009425750700498845,86,0.21427479448867148,6,203
2,r0_1.5,obesity_or,3,3,C,0.0044247579436720195,111,0.11655956604301661,21,186
2,r0_1.5,obesity_or,3,4,A,0.014270522288911248,75,0.2544185561537926,5,177
2,r0_1.5,obesity_or,3,4,C,0.007365291854581563,97,0.15030815464736436,14,172
2,r0_1.5,obesity_or,3,5,A,0.01793235754066894,66,0.2850442618051505,4,175
2,r0_1.5,obesity_or,3,5,C,0.006670667463127378,97,0.1403357092878556,16,171
2,r0_1.5,obesity_or,3,6,A,0.0254615083535421,58,0.3222965632614545,3,149
2,r0_1.5,obesity_or,3,6,C,0.011407142398086049,81,0.18145135136438942,10,152
2,r0_1.5,r0,1.5,1,A,0.014526069758054833,68,0.25559541538498337,4,189
2,r0_1.5,r0,1.5,1,C,0.004876253179774784,108,0.12249450530255489,19,185
2,r0_1.5,r0,1.5,2,A,0.014649382779728017,68,0.25577143613265746,4,190
2,r0_1.5,r0,1.5,2,C,0.004525194311989819,109,0.11707365454807192,21,184
2,r0_1.5,r0,1.5,3,A,0.008990790576721759,86,0.20438688273558747,7,200
2,r0_1.5,r0,1.5,3,C,0.0044247579436720195,111,0.11655956604301661,21,186
2,r0_1.5,r0,1.5,4,A,0.01361199562738815,75,0.24267817279419615,5,175
2,r0_1.5,r0,1.5,4,C,0.007365291854581563,97,0.15030815464736436,14,172
2,r0_1.5,r0,1.5,5,A,0.01710485205030078,66,0.2718906264782418,4,173
2,r0_1.5,r0,1.5,5,C,0.006670667463127378,97,0.1403357092878556,16,171
