GEOID,REGION6,peak_prevalence_A,peak_prevalence_C,final_attack_rate_A,final_attack_rate_C,time_to_peak_A,time_to_peak_C,peak_prevalence_ratio,attack_rate_ratio,time_to_peak_diff
01001,2,0.08869025683040872,0.06214089817110839,0.7216641019049574,0.5688407427103036,45,56,1.4272445272064658,1.268657548097751,-11
01003,2,0.08657743493856647,0.05850672673867805,0.7172514787355495,0.5529287688611688,45,57,1.4797859966644011,1.2971860375665123,-12
01005,2,0.09018905828294238,0.05901511219074172,0.7210137029576277,0.5466322589951877,44,56,1.5282366657449347,1.3190105250703381,-12
01007,2,0.08905487103076071,0.06152936794654029,0.7222168275376288,0.5645942107637059,45,56,1.447355531234059,1.2791785919319163,-11
01009,2,0.09116224275630144,0.0649529935594812,0.7255744466025098,0.5784790874466866,44,54,1.4035110279069574,1.2542794758667566,-10
01011,2,0.0897510329621453,0.06160985762899194,0.7218538994990568,0.5620990321717102,44,55,1.4567641675560516,1.284211247811835,-11
01013,2,0.08230430879273559,0.05316533172774079,0.7076973438883407,0.5301360500041498,46,60,1.5480822957000486,1.3349353319450754,-14
01015,2,0.08558909068790647,0.05741964315809119,0.7174803040341815,0.5507800646347394,45,58,1.4905890385326408,1.3026620789370666,-13
01017,2,0.0931882667894774,0.06431156167116692,0.7291046077812521,0.5713160049122392,43,54,1.4490126560129375,1.2761844609853894,-11
01019,2,0.08075861222624743,0.05149283875826466,0.7052039362976389,0.5239960643924931,46,61,1.568346476397858,1.3458191467816334,-15
01021,2,0.0865358892865339,0.05966598701796288,0.7166334154444673,0.5589119581591281,45,57,1.450338687273901,1.2821937426510281,-12
01023,2,0.08483927184311951,0.05413860104422197,0.7127211232559275,0.5308992899217522,45,59,1.567075436135122,1.3424789537032034,-14
01025,2,0.08383809878163626,0.0532022147295766,0.7106779155967268,0.527505385686224,45,59,1.5758385098774528,1.3472429569078548,-14
01027,2,0.08602444162297121,0.05755596168592209,0.7130039160984079,0.545787648858046,45,57,1.4946226090773906,1.306376055944522,-12
