t,subpop,S_indiv,I_indiv,R_indiv,REGION6,parset,parset_name,sens_type,sens_value
0,A,0.9990000000000001,9.999999999999998e-4,0,1,6,eps_0.5,eps,0.5
0,C,0.9990000000000002,0.0010000000000000002,0,1,6,eps_0.5,eps,0.5
1,A,0.998544812503829,0.0012322242816914107,2.2296321447917825e-4,1,6,eps_0.5,eps,0.5
1,C,0.9987267512093091,0.0010665686732340993,2.0668011745742505e-4,1,6,eps_0.5,eps,0.5
2,A,0.9980385821435593,0.001468297815435585,4.931200410047857e-4,1,6,eps_0.5,eps,0.5
2,C,0.9984428624110608,0.0011306806778898116,4.2645691104814336e-4,1,6,eps_0.5,eps,0.5
3,A,0.9974985982093141,0.0016919997237580576,8.094020669284872e-4,1,6,eps_0.5,eps,0.5
3,C,0.9981501679371144,0.0011911333319147275,6.586987309692297e-4,1,6,eps_0.5,eps,0.5
4,A,0.996931815329474,0.0018994299103423646,0.0011687547601844771,1,6,eps_0.5,eps,0.5
4,C,0.9978495060099815,0.001247848305708147,9.026456843107197e-4,1,6,eps_0.5,eps,0.5
5,A,0.9963382867180476,0.002093534477688569,0.0015681788042640288,1,6,eps_0.5,eps,0.5
5,C,0.9975410298349285,0.0013013691910528102,0.0011576009740191138,1,6,eps_0.5,eps,0.5
6,A,0.9957154917440952,0.002279009025019659,0.002005499230884768,1,6,eps_0.5,eps,0.5
6,C,0.9972245502951184,0.0013524460536133065,0.0014230036512683224,1,6,eps_0.5,eps,0.5
7,A,0.9950605519254843,0.0024600095892101646,0.0024794384853051433,1,6,eps_0.5,eps,0.5
7,C,0.9968997406876368,0.0014018122171279334,0.0016984470952349814,1,6,eps_0.5,eps,0.5
8,A,0.9943708155492773,0.0026397663641703328,0.002989418086552385,1,6,eps_0.5,eps,0.5
8,C,0.9965662082539446,0.0014501386830958025,0.0019836530629593454,1,6,eps_0.5,eps,0.5
9,A,0.9936440620623216,0.002820481052879231,0.0035354568847995875,1,6,eps_0.5,eps,0.5
9,C,0.9962235188236038,0.0014980124611122258,0.0022784687152849073,1,6,eps_0.5,eps,0.5
10,A,0.9928786542969716,0.003003423758030423,0.004117921944997068,1,6,eps_0.5,eps,0.5
10,C,0.9958712798334286,0.001545864179555926,0.002582855987014748,1,6,eps_0.5,eps,0.5
11,A,0.9920734082241297,0.003189288215547688,0.004737303560321541,1,6,eps_0.5,eps,0.5
11,C,0.9955091665113,0.0015939846082385824,0.0028968488804610526,1,6,eps_0.5,eps,0.5
12,A,0.99122733851309,0.003378533035151182,0.005394128451759122,1,6,eps_0.5,eps,0.5
12,C,0.9951368890182098,0.0016425966897327796,0.0032205142920583123,1,6,eps_0.5,eps,0.5
13,A,0.9903393770283755,0.0035715482201575492,0.006089074751466761,1,6,eps_0.5,eps,0.5
13,C,0.9947541166364203,0.0016919195302565204,0.003553963833322679,1,6,eps_0.5,eps,0.5
14,A,0.9894083036165784,0.00376868535424552,0.00682301102917567,1,6,eps_0.5,eps,0.5
14,C,0.9943604579313966,0.0017421789692162425,0.003897363099387959,1,6,eps_0.5,eps,0.5
15,A,0.9884331502494029,0.0039700510527146265,0.007596798697882971,1,6,eps_0.5,eps,0.5
15,C,0.9939555776955777,0.0017935063882695275,0.004250915916153291,1,6,eps_0.5,eps,0.5
16,A,0.9874130325497197,0.0041756748749419755,0.00841129257533793,1,6,eps_0.5,eps,0.5
16,C,0.9935391612990577,0.001845990941707486,0.00461484775923509,1,6,eps_0.5,eps,0.5
17,A,0.9863470773571785,0.004385577946159865,0.00926734469666139,1,6,eps_0.5,eps,0.5
17,C,0.9931108975173111,0.0018997040095509626,0.004989398473136912,1,6,eps_0.5,eps,0.5
18,A,0.9852344131375116,0.004599777673273022,0.010165809189215176,1,6,eps_0.5,eps,0.5
18,C,0.9926704734595971,0.0019547065497586584,0.005374819990644538,1,6,eps_0.5,eps,0.5
19,A,0.9840741780552075,0.0048182783784874355,0.011107543566303757,1,6,eps_0.5,eps,0.5
19,C,0.9922175740016888,0.0020110507359374155,0.005771375262374822,1,6,eps_0.5,eps,0.5
20,A,0.9828655261379948,0.005041067669891741,0.01209340619211258,1,6,eps_0.5,eps,0.5
20,C,0.99175188203972,0.0020687809558432354,0.0061793370044384965,1,6,eps_0.5,eps,0.5
21,A,0.9816076294598742,0.005268118177324124,0.0131242523628005,1,6,eps_0.5,eps,0.5
21,C,0.9912730785220408,0.0021279351709704475,0.006598986306987499,1,6,eps_0.5,eps,0.5
22,A,0.9802996790118339,0.005499390154005687,0.014200930834159442,1,6,eps_0.5,eps,0.5
22,C,0.9907808422556211,0.0021885463415444325,0.007030611402833701,1,6,eps_0.5,eps,0.5
23,A,0.9789408860326455,0.005734832798018408,0.015324281169335702,1,6,eps_0.5,eps,0.5
23,C,0.9902748496873164,0.0022506435945918064,0.007474506718091055,1,6,eps_0.5,eps,0.5
24,A,0.9775304840910329,0.005974384371548957,0.016495131537418148,1,6,eps_0.5,eps,0.5
24,C,0.9897547747847449,0.002314253046684864,0.00793097216856982,1,6,eps_0.5,eps,0.5
25,A,0.9760677315929103,0.006217971831835184,0.017714296575254394,1,6,eps_0.5,eps,0.5
25,C,0.989220289041921,0.0023793983401740287,0.008400312617905565,1,6,eps_0.5,eps,0.5
26,A,0.9745519144144422,0.0064655104398304054,0.018982575145726856,1,6,eps_0.5,eps,0.5
26,C,0.9886710615865336,0.0024461009847466697,0.008882837428719668,1,6,eps_0.5,eps,0.5
27,A,0.972982348559807,0.006716903456958091,0.020300747983234613,1,6,eps_0.5,eps,0.5
27,C,0.9881067593606646,0.002514380573403488,0.00937886006593199,1,6,eps_0.5,eps,0.5
28,A,0.9713583828605185,0.00697204187819562,0.02166957526128652,1,6,eps_0.5,eps,0.5
28,C,0.9875270473573864,0.002584254912259284,0.009888697730355509,1,6,eps_0.5,eps,0.5
29,A,0.9696794016238615,0.007230804169959057,0.023089794206179928,1,6,eps_0.5,eps,0.5
29,C,0.9869315888924931,0.0026557400846685653,0.010412671022837912,1,6,eps_0.5,eps,0.5
30,A,0.9679448274515347,0.007493055980461638,0.02456211656800335,1,6,eps_0.5,eps,0.5
30,C,0.9863200459281611,0.0027288504686299405,0.010951103603209646,1,6,eps_0.5,eps,0.5
31,A,0.9661541248102475,0.007758649745538954,0.02608722544421375,1,6,eps_0.5,eps,0.5
31,C,0.9856920795001423,0.002803598718202457,0.011504321781655327,1,6,eps_0.5,eps,0.5
32,A,0.9643067973345407,0.008027426012799172,0.02766577665265989,1,6,eps_0.5,eps,0.5
32,C,0.9850473501127783,0.0028799958925210664,0.012072653994702115,1,6,eps_0.5,eps,0.5
33,A,0.9624023969400615,0.008299211290781568,0.02929839176915686,1,6,eps_0.5,eps,0.5
33,C,0.9843855180495078,0.002958051133257257,0.012656430817235638,1,6,eps_0.5,eps,0.5
34,A,0.9604405329510294,0.008573815963139863,0.030985651085831227,1,6,eps_0.5,eps,0.5
34,C,0.9837062437342328,0.0030377713228839473,0.013255984942882939,1,6,eps_0.5,eps,0.5
35,A,0.9584208677699871,0.008851036711792154,0.03272809551822064,1,6,eps_0.5,eps,0.5
35,C,0.9830091885357468,0.0031191613158553042,0.013871650148399112,1,6,eps_0.5,eps,0.5
36,A,0.9563431159391317,0.009130657556506742,0.03452622650436168,1,6,eps_0.5,eps,0.5
36,C,0.9822940153226221,0.003202223965496718,0.01450376071188113,1,6,eps_0.5,eps,0.5
37,A,0.9542070486615873,0.00941244919911212,0.03638050213929974,1,6,eps_0.5,eps,0.5
37,C,0.9815603889211452,0.003286959911624905,0.01515265116722957,1,6,eps_0.5,eps,0.5
38,A,0.9520124984470831,0.00969616844701416,0.03829133310590284,1,6,eps_0.5,eps,0.5
38,C,0.9808079766457143,0.003373367371551615,0.01581865598273447,1,6,eps_0.5,eps,0.5
39,A,0.9497593621980968,0.009981558228427894,0.040259079573475284,1,6,eps_0.5,eps,0.5
39,C,0.9800364489272589,0.0034614419988627672,0.016502109073877707,1,6,eps_0.5,eps,0.5
40,A,0.9474476033489108,0.01026834794640037,0.042284048704689874,1,6,eps_0.5,eps,0.5
40,C,0.9792454799911163,0.0035511767719280996,0.017203343236954365,1,6,eps_0.5,eps,0.5
41,A,0.9450772538801037,0.010556253883518791,0.04436649223637768,1,6,eps_0.5,eps,0.5
41,C,0.9784347485498033,0.003642561874370106,0.01792268957582574,1,6,eps_0.5,eps,0.5
42,A,0.9426484164577696,0.010844979583781066,0.04650660395844974,1,6,eps_0.5,eps,0.5
42,C,0.977603938509192,0.003735584560982931,0.018660476929823866,1,6,eps_0.5,eps,0.5
43,A,0.9401612665672195,0.011134216264023628,0.04870451716875621,1,6,eps_0.5,eps,0.5
43,C,0.9767527396990753,0.003830229018151215,0.019417031282773486,1,6,eps_0.5,eps,0.5
44,A,0.9376160544771104,0.011423643308262501,0.050960302214627926,1,6,eps_0.5,eps,0.5
44,C,0.9758808486340568,0.003926476225981547,0.020192675139962125,1,6,eps_0.5,eps,0.5
45,A,0.9350131069687613,0.011712928858924434,0.053273964172315634,1,6,eps_0.5,eps,0.5
45,C,0.9749879693034724,0.0040243038236931865,0.02098772687283395,1,6,eps_0.5,eps,0.5
46,A,0.9323528288324257,0.01200173049626774,0.05564544067130777,1,6,eps_0.5,eps,0.5
46,C,0.974073813986619,0.004123685977571298,0.021802500035810194,1,6,eps_0.5,eps,0.5
47,A,0.9296357041401611,0.012289695996376531,0.0580745998634625,1,6,eps_0.5,eps,0.5
47,C,0.9731381040906836,0.004224593251365476,0.022637302657952104,1,6,eps_0.5,eps,0.5
48,A,0.9268622972893835,0.012576464164250858,0.060561238546365435,1,6,eps_0.5,eps,0.5
48,C,0.9721805710101205,0.0043269924799401414,0.023492436509939818,1,6,eps_0.5,eps,0.5
49,A,0.9240332538055702,0.012861665740829668,0.06310508045360065,1,6,eps_0.5,eps,0.5
49,C,0.9712009570057952,0.004430846647335984,0.024368196346867894,1,6,eps_0.5,eps,0.5
50,A,0.921149300883102,0.013144924384194446,0.06570577473270321,1,6,eps_0.5,eps,0.5
50,C,0.9701990161028253,0.004536114770170096,0.025264869127003816,1,6,eps_0.5,eps,0.5
51,A,0.9182112476042185,0.013425857731716298,0.06836289466406414,1,6,eps_0.5,eps,0.5
51,C,0.9691745150104369,0.004642751786586657,0.026182733202974987,1,6,eps_0.5,eps,0.5
52,A,0.9152199849455591,0.013704078513005239,0.07107593654143644,1,6,eps_0.5,eps,0.5
52,C,0.9681272340474018,0.004750708453378907,0.02712205749922011,1,6,eps_0.5,eps,0.5
53,A,0.912176485459786,0.013979195732125612,0.07384431880808744,1,6,eps_0.5,eps,0.5
53,C,0.9670569680833517,0.00485993125070372,0.028083100665944546,1,6,eps_0.5,eps,0.5
54,A,0.909081802657889,0.014250815906181345,0.07666738143592966,1,6,eps_0.5,eps,0.5
54,C,0.9659635274893514,0.004970362295847019,0.029066110214801353,1,6,eps_0.5,eps,0.5
55,A,0.9059370700881767,0.014518544353697782,0.07954438555812551,1,6,eps_0.5,eps,0.5
55,C,0.9648467390947499,0.005081939267014645,0.03007132163823579,1,6,eps_0.5,eps,0.5
56,A,0.9027435001125785,0.014781986524943037,0.08247451336247777,1,6,eps_0.5,eps,0.5
56,C,0.9637064471468179,0.0051945953381865055,0.03109895751499555,1,6,eps_0.5,eps,0.5
57,A,0.8995023824768187,0.015040749285668016,0.08545686823751392,1,6,eps_0.5,eps,0.5
