commodity,min_loss_pct,max_loss_pct,mean_loss_pct,worst_peakday,best_peakday
"Lettuce, Iceberg",0.05983381754778305,0.39630801988018716,0.2529467803442157,172,20
Oranges,0.1141056497617976,0.38568945647260433,0.2529467803443184,59,243
Strawberries,0.053319167325815986,0.4678024428347749,0.25294678034406504,165,26
