REGION6,REGION_NAME,REGION_ABBREV,prop_ag,eps,C_within,C_between,A_within,A_between
1,East,EA,0.0072060722232625924,0,1,0,1,0
1,East,EA,0.0072060722232625924,0.33,0.9976219961663233,0.0023780038336766555,0.6723780038336766,0.32762199616632337
1,East,EA,0.0072060722232625924,0.5,0.9963969638883687,0.0036030361116312962,0.5036030361116313,0.4963969638883687
1,East,EA,0.0072060722232625924,0.7,0.9949557494437161,0.005044250556283814,0.30504425055628387,0.6949557494437161
2,Southeast,SE,0.010253048665344757,0,1,0,1,0
2,Southeast,SE,0.010253048665344757,0.33,0.9966164939404362,0.0033835060595637702,0.6733835060595637,0.32661649394043624
2,Southeast,SE,0.010253048665344757,0.5,0.9948734756673276,0.005126524332672379,0.5051265243326724,0.49487347566732764
2,Southeast,SE,0.010253048665344757,0.7,0.9928228659342587,0.00717713406574133,0.3071771340657414,0.6928228659342587
3,Midwest,MW,0.015718492352504176,0,1,0,1,0
3,Midwest,MW,0.015718492352504176,0.33,0.9948128975236736,0.005187102476326378,0.6751871024763263,0.32481289752367365
3,Midwest,MW,0.015718492352504176,0.5,0.9921407538237479,0.007859246176252088,0.5078592461762521,0.4921407538237479
3,Midwest,MW,0.015718492352504176,0.7,0.988997055353247,0.011002944646752923,0.311002944646753,0.688997055353247
4,Southwest,SW,0.009719322824149022,0,1,0,1,0
4,Southwest,SW,0.009719322824149022,0.33,0.9967926234680308,0.0032073765319691775,0.6732073765319692,0.32679262346803084
4,Southwest,SW,0.009719322824149022,0.5,0.9951403385879255,0.004859661412074511,0.5048596614120745,0.4951403385879255
4,Southwest,SW,0.009719322824149022,0.7,0.9931964740230957,0.006803525976904316,0.30680352597690436,0.6931964740230957
5,Northwest,NW,0.02121876878302336,0,1,0,1,0
5,Northwest,NW,0.02121876878302336,0.33,0.9929978063016023,0.007002193698397709,0.6770021936983976,0.3229978063016023
5,Northwest,NW,0.02121876878302336,0.5,0.9893906156084884,0.01060938439151168,0.5106093843915117,0.48939061560848834
5,Northwest,NW,0.02121876878302336,0.7,0.9851468618518837,0.014853138148116351,0.3148531381481164,0.6851468618518837
6,California,CA,0.021855094657951886,0,1,0,1,0
6,California,CA,0.021855094657951886,0.33,0.9927878187628758,0.007212181237124123,0.677212181237124,0.3227878187628759
6,California,CA,0.021855094657951886,0.5,0.9890724526710241,0.010927547328975943,0.5109275473289759,0.48907245267102406
6,California,CA,0.021855094657951886,0.7,0.9847014337394336,0.01529856626056632,0.31529856626056635,0.6847014337394336
