shipment_date,begin_date,end_date,location,group,commodity,origin,organic,package,variety,properties,district,transportation,season,environment,import/export,reporting_city,1_lb_units,package_count,car_van_count
12/06/2025,11/30/2025,12/06/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",498424,,
12/06/2025,11/30/2025,12/06/2025,Dominican Republic,Fruits,Lemons,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2025,N/A,I (import),"Washington, District Of Columbia",491,,
12/06/2025,11/30/2025,12/06/2025,Dominican Republic,Fruits,Lemons,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",3832,,
11/29/2025,11/23/2025,11/29/2025,Spain,Fruits,Lemons,Spain,No,N/A,N/A,N/A,IMPORTS THROUGH MEMPHIS TENNESSEE,Air,2025,N/A,I (import),"Washington, District Of Columbia",2,,
11/29/2025,11/23/2025,11/29/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",381132,,
11/29/2025,11/23/2025,11/29/2025,Mexico,Fruits,Lemons,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",809096,,
11/29/2025,11/23/2025,11/29/2025,Colombia,Fruits,Lemons,Colombia,No,N/A,N/A,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",49896,,
11/29/2025,11/23/2025,11/29/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2025,N/A,I (import),"Washington, District Of Columbia",266246,,
11/29/2025,11/23/2025,11/29/2025,Mexico,Fruits,Lemons,Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2025,N/A,I (import),"Washington, District Of Columbia",451440,,
11/29/2025,11/23/2025,11/29/2025,Dominican Republic,Fruits,Lemons,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2025,N/A,I (import),"Washington, District Of Columbia",2442,,
