shipment_date,begin_date,end_date,location,group,commodity,origin,organic,package,variety,properties,district,transportation,season,environment,import/export,reporting_city,1_lb_units,package_count,car_van_count
12/28/2024,12/22/2024,12/28/2024,Canada,Vegetables,Celeriac (Celery Root),Canada,No,N/A,N/A,N/A,IMPORTS THROUGH LAKE CHAMPLAIN NEW YORK,Truck,2024,N/A,I (import),"Washington, District Of Columbia",17433,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,Carrots,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH LAREDO TEXAS,Truck,2024,N/A,I (import),"Washington, District Of Columbia",56500,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,Cucumbers,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PROGRESO TEXAS,Truck,2024,Greenhouse,I (import),"Washington, District Of Columbia",773238,,
12/28/2024,12/22/2024,12/28/2024,Texas,Fruits,Oranges,Texas,No,7/10 bushel cartons,EARLY VARIETIES,N/A,LOWER RIO GRANDE VALLEY TEXAS,Truck,2024,N/A,D (domestic),"Mcallen, Texas",2753772,65566,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,"Squash, Zucchini",Mexico,Yes,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2024,N/A,I (import),"Washington, District Of Columbia",1104658,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,"Peas, Green",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH ROMA TEXAS,Truck,2024,N/A,I (import),"Washington, District Of Columbia",2114,,
12/28/2024,12/22/2024,12/28/2024,Chile,Fruits,Cherries,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2024,N/A,I (import),"Washington, District Of Columbia",215611,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,Tomatillos,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PHARR TEXAS,Truck,2024,N/A,I (import),"Washington, District Of Columbia",2703342,,
12/28/2024,12/22/2024,12/28/2024,United States,Vegetables,Tomatoes,United States,No,N/A,VINE RIPE - CAMPARI TYPE,N/A,VARIOUS U.S. SHIPPING POINTS,Truck,2024,Greenhouse,D (domestic),"Washington, District Of Columbia",194529,,
12/28/2024,12/22/2024,12/28/2024,Guatemala,Fruits,Watermelons,Guatemala,No,N/A,N/A,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2024,N/A,I (import),"Washington, District Of Columbia",315176,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Fruits,Watermelons,Mexico,No,N/A,SEEDLESS,N/A,MEXICO CROSSINGS THROUGH RIO GRANDE CITY TEXAS,Truck,2024,N/A,I (import),"Washington, District Of Columbia",1316766,,
12/28/2024,12/22/2024,12/28/2024,Dominican Republic,Vegetables,Cucumbers,Dominican Republic,No,N/A,PERSIAN,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2024,Greenhouse,I (import),"Washington, District Of Columbia",3353,,
12/28/2024,12/22/2024,12/28/2024,Israel,Vegetables,Vegetables Other,Israel,No,N/A,N/A,N/A,IMPORTS THROUGH NEW YORK JFK AIRPORT,Air,2024,N/A,I (import),"Washington, District Of Columbia",4073,,
12/28/2024,12/22/2024,12/28/2024,Spain,Vegetables,"Peppers, Bell Type",Spain,Yes,N/A,N/A,RED,IMPORTS THROUGH NEW YORK JFK AIRPORT,Air,2024,Greenhouse,I (import),"Washington, District Of Columbia",9240,,
12/28/2024,12/22/2024,12/28/2024,Japan,Vegetables,Yams (Names),Japan,No,N/A,N/A,N/A,IMPORTS THROUGH HONOLULU HAWAII,Air,2024,N/A,I (import),"Washington, District Of Columbia",143,,
12/28/2024,12/22/2024,12/28/2024,Dominican Republic,Vegetables,"Squash, Butternut",Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2024,N/A,I (import),"Washington, District Of Columbia",11496,,
12/28/2024,12/22/2024,12/28/2024,Ecuador,Fruits,Bananas,Ecuador,Yes,N/A,N/A,N/A,IMPORTS THROUGH GULFPORT MISSISSIPPI,Boat,2024,N/A,I (import),"Washington, District Of Columbia",1413594,,
12/28/2024,12/22/2024,12/28/2024,Canada,Vegetables,Cucumbers,Canada,No,N/A,N/A,N/A,IMPORTS THROUGH PORT HURON MICHIGAN,Truck,2024,Greenhouse,I (import),"Washington, District Of Columbia",84171,,
12/28/2024,12/22/2024,12/28/2024,Chile,Fruits,Apricots,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES AIRPORT CALIFORNIA,Air,2024,N/A,I (import),"Washington, District Of Columbia",3485,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,Pumpkins,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2024,N/A,I (import),"Washington, District Of Columbia",178800,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,Long Beans,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH OTAY MESA CALIFORNIA,Truck,2024,N/A,I (import),"Washington, District Of Columbia",16603,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Fruits,Watermelons,Mexico,No,N/A,SEEDLESS,N/A,MEXICO CROSSINGS THROUGH OTAY MESA CALIFORNIA,Truck,2024,N/A,I (import),"Washington, District Of Columbia",294836,,
12/28/2024,12/22/2024,12/28/2024,Chile,Fruits,Blueberries,Chile,No,N/A,N/A,N/A,IMPORTS THROUGH PORT CANAVERAL FLORIDA,Boat,2024,N/A,I (import),"Washington, District Of Columbia",437923,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,"Peppers, Bell Type",Mexico,No,N/A,N/A,GREEN,IMPORTS THROUGH NEW YORK JFK AIRPORT,Air,2024,N/A,I (import),"Washington, District Of Columbia",7,,
12/28/2024,12/22/2024,12/28/2024,India,Fruits,Pomegranates,India,No,N/A,N/A,N/A,IMPORTS THROUGH NEW YORK JFK AIRPORT,Air,2024,N/A,I (import),"Washington, District Of Columbia",2369,,
12/28/2024,12/22/2024,12/28/2024,Japan,Vegetables,Ginger Root,Japan,No,N/A,N/A,N/A,IMPORTS THROUGH HONOLULU HAWAII,Air,2024,N/A,I (import),"Washington, District Of Columbia",44,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,"Onions, Green",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH RIO GRANDE CITY TEXAS,Truck,2024,N/A,I (import),"Washington, District Of Columbia",78210,,
12/28/2024,12/22/2024,12/28/2024,Dominican Republic,Vegetables,"Peppers, Bell Type",Dominican Republic,No,N/A,N/A,YELLOW,IMPORTS THROUGH SAN JUAN PUERTO RICO,Boat,2024,Greenhouse,I (import),"Washington, District Of Columbia",6526,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,"Peppers, Jalapeno",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH PROGRESO TEXAS,Truck,2024,N/A,I (import),"Washington, District Of Columbia",782346,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,Eggplant,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH OTAY MESA CALIFORNIA,Truck,2024,N/A,I (import),"Washington, District Of Columbia",61116,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,Vegetables Other,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH NOGALES ARIZONA,Truck,2024,N/A,I (import),"Washington, District Of Columbia",549787,,
12/28/2024,12/22/2024,12/28/2024,Honduras,Fruits,Limes,Honduras,No,N/A,SEEDLESS TYPE,N/A,IMPORTS THROUGH SOUTH FLORIDA/TAMPA,Boat,2024,N/A,I (import),"Washington, District Of Columbia",56174,,
12/28/2024,12/22/2024,12/28/2024,Canada,Vegetables,Carrots,Canada,No,N/A,N/A,N/A,IMPORTS THROUGH LAKE CHAMPLAIN NEW YORK,Truck,2024,Greenhouse,I (import),"Washington, District Of Columbia",569882,,
12/28/2024,12/22/2024,12/28/2024,Japan,Vegetables,Ginger Root,Japan,No,N/A,N/A,N/A,IMPORTS THROUGH DALLAS-FORT WORTH TEXAS,Air,2024,N/A,I (import),"Washington, District Of Columbia",13,,
12/28/2024,12/22/2024,12/28/2024,Peru,Fruits,Grapes,Peru,No,N/A,N/A,N/A,IMPORTS THROUGH SAVANNAH GEORGIA,Boat,2024,N/A,I (import),"Washington, District Of Columbia",541200,,
12/28/2024,12/22/2024,12/28/2024,Florida,Vegetables,"Beans, Cranberry Type",Florida,No,bushel hampers/cartons/crates,N/A,N/A,FLORIDA,Truck,2024,N/A,D (domestic),"Orlando (Oviedo), Florida",3030,101,
12/28/2024,12/22/2024,12/28/2024,Ecuador,Fruits,Pepino,Ecuador,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2024,N/A,I (import),"Washington, District Of Columbia",5039,,
12/28/2024,12/22/2024,12/28/2024,Arizona,Vegetables,Parsley,Arizona,No,1 1/9 bushel cartons/crates bunched,PLAIN,N/A,CENTRAL ARIZONA,Truck,2024,N/A,D (domestic),"Phoenix, Arizona",2016,96,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,Vegetables Other,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH OTAY MESA CALIFORNIA,Truck,2024,N/A,I (import),"Washington, District Of Columbia",155458,,
12/28/2024,12/22/2024,12/28/2024,Canada,Vegetables,Celery,Canada,No,N/A,N/A,N/A,IMPORTS THROUGH PORT HURON MICHIGAN,Truck,2024,N/A,I (import),"Washington, District Of Columbia",1607,,
12/28/2024,12/22/2024,12/28/2024,Peru,Fruits,Grapes,Peru,No,N/A,WHITE VARIETIES,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2024,N/A,I (import),"Washington, District Of Columbia",15392740,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,Beans,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH SAN LUIS ARIZONA,Truck,2024,N/A,I (import),"Washington, District Of Columbia",14997,,
12/28/2024,12/22/2024,12/28/2024,Florida,Vegetables,Cucumbers,Florida,No,cartons 36-42s,N/A,N/A,FLORIDA,Truck,2024,N/A,D (domestic),"Orlando (Oviedo), Florida",80640,3360,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,Bok Choy,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH RIO GRANDE CITY TEXAS,Truck,2024,N/A,I (import),"Washington, District Of Columbia",210595,,
12/28/2024,12/22/2024,12/28/2024,Arizona,Vegetables,Anise,Arizona,No,cartons bunched 24s,N/A,N/A,WESTERN ARIZONA,Truck,2024,N/A,D (domestic),"Phoenix, Arizona",47368,5921,
12/28/2024,12/22/2024,12/28/2024,Ecuador,Fruits,Mangoes,Ecuador,No,N/A,N/A,N/A,IMPORTS THROUGH PHILADELPHIA-CAMDEN PENNSYLVANIA-NEW JERSEY,Boat,2024,N/A,I (import),"Washington, District Of Columbia",505032,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,"Tomatoes, Cherry",Mexico,No,N/A,N/A,N/A,IMPORTS THROUGH DETROIT MICHIGAN,Truck,2024,N/A,I (import),"Washington, District Of Columbia",2048,,
12/28/2024,12/22/2024,12/28/2024,Japan,Fruits,Strawberries,Japan,No,N/A,N/A,N/A,IMPORTS THROUGH HONOLULU HAWAII,Air,2024,N/A,I (import),"Washington, District Of Columbia",735,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,"Peppers, Bell Type",Mexico,No,N/A,N/A,YELLOW,IMPORTS THROUGH DETROIT MICHIGAN,Truck,2024,Greenhouse,I (import),"Washington, District Of Columbia",159634,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,"Peppers, Mixed Mini Sweet Types",Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH OTAY MESA CALIFORNIA,Truck,2024,N/A,I (import),"Washington, District Of Columbia",283772,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,"Tomatoes, Plum Type",Mexico,No,N/A,N/A,N/A,IMPORTS THROUGH BUFFALO NEW YORK,Truck,2024,Greenhouse,I (import),"Washington, District Of Columbia",46632,,
12/28/2024,12/22/2024,12/28/2024,Florida,Vegetables,Eggplant,Florida,Yes,1 1/9 bushel cartons/crates,N/A,N/A,FLORIDA,Truck,2024,N/A,D (domestic),"Orlando (Oviedo), Florida",26400,800,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,Tomatillos,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH ROMA TEXAS,Truck,2024,N/A,I (import),"Washington, District Of Columbia",1586021,,
12/28/2024,12/22/2024,12/28/2024,California-Central,Vegetables,Cabbage,California-Central,No,45 lb cartons,RED TYPE,N/A,SANTA MARIA CALIFORNIA,Truck,2024,N/A,D (domestic),"El Centro, California",99000,2200,
12/28/2024,12/22/2024,12/28/2024,Netherlands,Vegetables,Endive,Netherlands,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2024,Greenhouse,I (import),"Washington, District Of Columbia",11933,,
12/28/2024,12/22/2024,12/28/2024,Netherlands,Vegetables,Brussels Sprouts,Netherlands,No,N/A,N/A,N/A,IMPORTS THROUGH BOSTON/LOGAN AIRPORT MASSACHUSETTS,Air,2024,Greenhouse,I (import),"Washington, District Of Columbia",11387,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Vegetables,Beans,Mexico,No,N/A,N/A,N/A,MEXICO CROSSINGS THROUGH ROMA TEXAS,Truck,2024,N/A,I (import),"Washington, District Of Columbia",156455,,
12/28/2024,12/22/2024,12/28/2024,California-South,Vegetables,"Lettuce, Romaine",California-South,No,40 lb cartons,N/A,N/A,COACHELLA VALLEY CALIFORNIA,Truck,2024,Open Field,D (domestic),"El Centro, California",40000,1000,
12/28/2024,12/22/2024,12/28/2024,Dominican Republic,Fruits,Avocados,Dominican Republic,No,N/A,N/A,N/A,IMPORTS THROUGH MIAMI AIRPORT FLORIDA,Air,2024,N/A,I (import),"Washington, District Of Columbia",3498,,
12/28/2024,12/22/2024,12/28/2024,Ecuador,Fruits,Bananas,Ecuador,No,N/A,N/A,N/A,IMPORTS THROUGH HOUSTON TEXAS,Boat,2024,N/A,I (import),"Washington, District Of Columbia",2204,,
12/28/2024,12/22/2024,12/28/2024,Mexico,Fruits,Limes,Mexico,No,N/A,SEEDLESS TYPE,N/A,MEXICO CROSSINGS THROUGH PROGRESO TEXAS,Truck,2024,N/A,I (import),"Washington, District Of Columbia",457063,,
12/28/2024,12/22/2024,12/28/2024,California-South,Fruits,Oranges,California-South,No,40 lb cartons,NAVEL,N/A,SOUTH DISTRICT CALIFORNIA,Truck,2024,N/A,D (domestic),"El Centro, California",148640,3716,
