shipment_date,begin_date,end_date,location,group,commodity,origin,organic,package,variety,properties,district,transportation,season,environment,import/export,reporting_city,1_lb_units,package_count,car_van_count
12/20/2025,12/14/2025,12/20/2025,New York,Fruits,Apples,New York,No,cartons tray pack,N/A,N/A,NEW YORK,Truck,2025,N/A,D (domestic),"Idaho Falls, Idaho",8668440,216711,
12/20/2025,12/14/2025,12/20/2025,Appalachia,Fruits,Apples,Appalachia,No,bins,N/A,N/A,"APPALACHIAN DISTRICT (MD, PA, VA, WV)",Truck,2025,N/A,D (domestic),"Inwood, West Virginia",457800,763,
12/20/2025,12/14/2025,12/20/2025,Canada,Fruits,Apples,Canada,No,N/A,N/A,N/A,IMPORTS THROUGH HOULTON MAINE,Truck,2025,N/A,I (import),"Washington, District Of Columbia",209177,,
12/20/2025,12/14/2025,12/20/2025,Canada,Fruits,Apples,Canada,No,N/A,N/A,N/A,IMPORTS THROUGH BUFFALO NEW YORK,Truck,2025,N/A,I (import),"Washington, District Of Columbia",147020,,
12/20/2025,12/14/2025,12/20/2025,Michigan,Fruits,Apples,Michigan,No,cartons tray pack,N/A,N/A,MICHIGAN,Truck,2025,N/A,D (domestic),"Benton Harbor (St. Joseph), Michigan",7094840,177371,
12/20/2025,12/14/2025,12/20/2025,Appalachia,Fruits,Apples,Appalachia,No,31 lb reusable plastic containers (RPC),N/A,N/A,"APPALACHIAN DISTRICT (MD, PA, VA, WV)",Truck,2025,N/A,D (domestic),"Inwood, West Virginia",218705,7055,
12/20/2025,12/14/2025,12/20/2025,China,Fruits,Apples,China,No,N/A,N/A,N/A,IMPORTS THROUGH LOS ANGELES-LONG BEACH CALIFORNIA,Boat,2025,N/A,I (import),"Washington, District Of Columbia",130535,,
12/20/2025,12/14/2025,12/20/2025,Washington,Fruits,Apples,Washington,No,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2025,N/A,D (domestic),"Yakima, Washington",59729560,1493239,
12/20/2025,12/14/2025,12/20/2025,Appalachia,Fruits,Apples,Appalachia,No,cartons 8 5-lb film bags,N/A,N/A,"APPALACHIAN DISTRICT (MD, PA, VA, WV)",Truck,2025,N/A,D (domestic),"Inwood, West Virginia",174920,4373,
12/20/2025,12/14/2025,12/20/2025,Washington,Fruits,Apples,Washington,Yes,cartons tray pack,N/A,N/A,WASHINGTON,Truck,2025,N/A,Exp (export),"Yakima, Washington",595080,14877,
