REGION6,REGION_NAME,REGION_ABBREV,hhSize,prop,prop_crowded
1,East,EA,1,0.07606322398819948,0.20346439358942797
1,East,EA,2,0.17296820172647742,0.20346439358942797
1,East,EA,3,0.20370132453490908,0.20346439358942797
1,East,EA,4,0.20760626768966411,0.20346439358942797
1,East,EA,5,0.16152949671272132,0.20346439358942797
1,East,EA,6,0.05610061818665653,0.20346439358942797
1,East,EA,7,0.12203086716137183,0.20346439358942797
2,Southeast,SE,1,0.06421105586386013,0.22448576479346452
2,Southeast,SE,2,0.15719802382517573,0.22448576479346452
2,Southeast,SE,3,0.25543079827941095,0.22448576479346452
2,Southeast,SE,4,0.17958527324896262,0.22448576479346452
2,Southeast,SE,5,0.1335879764236333,0.22448576479346452
2,Southeast,SE,6,0.11140666620074173,0.22448576479346452
2,Southeast,SE,7,0.09858020615821565,0.22448576479346452
3,Midwest,MW,1,0.12009549256824201,0.11151479928704681
3,Midwest,MW,2,0.30569209799790376,0.11151479928704681
3,Midwest,MW,3,0.16285999025101108,0.11151479928704681
3,Midwest,MW,4,0.1780817406440598,0.11151479928704681
3,Midwest,MW,5,0.12107996993914405,0.11151479928704681
3,Midwest,MW,6,0.06444546437189576,0.11151479928704681
3,Midwest,MW,7,0.04774524422774353,0.11151479928704681
4,Southwest,SW,1,0.1924147913394158,0.14834172541660354
4,Southwest,SW,2,0.21653164747952033,0.14834172541660354
4,Southwest,SW,3,0.14031326311428574,0.14834172541660354
4,Southwest,SW,4,0.165551291080409,0.14834172541660354
4,Southwest,SW,5,0.15774602039512994,0.14834172541660354
4,Southwest,SW,6,0.06602500848545789,0.14834172541660354
4,Southwest,SW,7,0.061417978105781375,0.14834172541660354
5,Northwest,NW,1,0.08137809984045657,0.27308560060203385
5,Northwest,NW,2,0.17061897323839068,0.27308560060203385
5,Northwest,NW,3,0.16239408522512577,0.27308560060203385
5,Northwest,NW,4,0.19536387891137047,0.27308560060203385
5,Northwest,NW,5,0.21281139218244258,0.27308560060203385
5,Northwest,NW,6,0.12429883756414428,0.27308560060203385
5,Northwest,NW,7,0.05313473303806973,0.27308560060203385
6,California,CA,1,0.061853306932912876,0.32796884687022687
6,California,CA,2,0.14505893867049743,0.32796884687022687
6,California,CA,3,0.17597747431141622,0.32796884687022687
6,California,CA,4,0.19936421648561564,0.32796884687022687
6,California,CA,5,0.19061298174963373,0.32796884687022687
6,California,CA,6,0.12568413421872096,0.32796884687022687
6,California,CA,7,0.10144894763120318,0.32796884687022687
